experiment,person_prompt,hard_hat_prompt,safety_vest_prompt,mAP50,mAP50_95,run_dir,person_AP50,person_AP50_95,hard_hat_AP50,hard_hat_AP50_95,safety_vest_AP50,safety_vest_AP50_95
A0,person,hard hat,safety vest,0.7033321270704395,0.4091802382224125,/content/drive/MyDrive/Grounded-PPE-Safety-Copilot/outputs/prompt_ablation/20260906T074425_822948Z/A0,0.9902360257445003,0.6535392793239633,0.857025769652132,0.46532484641801497,0.2627345858146859,0.10867658892525914
H1,person,safety helmet,safety vest,0.7181425508075373,0.4142861765202684,/content/drive/MyDrive/Grounded-PPE-Safety-Copilot/outputs/prompt_ablation/20260906T074425_822948Z/H1,0.990368633553434,0.6543351174265946,0.902906532584103,0.4839704201278298,0.2611524862850748,0.10455299200638075
H2,person,construction helmet,safety vest,0.6932769387362175,0.4099168864987644,/content/drive/MyDrive/Grounded-PPE-Safety-Copilot/outputs/prompt_ablation/20260906T074425_822948Z/H2,0.9902360257445003,0.6527809512399014,0.847385723301525,0.4747513763217288,0.24220906716262752,0.1022183319346632
V1,person,hard hat,high visibility vest,0.6739582389748415,0.40126282489329806,/content/drive/MyDrive/Grounded-PPE-Safety-Copilot/outputs/prompt_ablation/20260906T074425_822948Z/V1,0.9907405542286551,0.6518359333199271,0.8561924363187985,0.465574025694598,0.17494172637707117,0.08637851566536911
V2,person,hard hat,reflective safety vest,0.7194734596745774,0.41400021448782665,/content/drive/MyDrive/Grounded-PPE-Safety-Copilot/outputs/prompt_ablation/20260906T074425_822948Z/V2,0.9900772656811897,0.645738881842043,0.8523098054647849,0.46408820520863925,0.316033307877758,0.13217355641279768
